loan_id,customer_id,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,issue_date,issue_year,pymnt_plan,type,purpose,description,notes,emp_title,emp_length,home_ownership,annual_inc,annual_inc_joint,verification_status,zip_code,addr_state,avg_cur_bal,Tot_cur_bal
59509,10c119f7ab0fYDa6BrGIecGea87bbs0cb8be1c018585,Current,7500.0,SD,7500.0, 36 months,0.1249,250.87,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,IT test analyst,9 years,MORTGAGE,55000.0,,Source Verified,571xx,SD,600.0,2400.0
60602,zb5cda6c9f7A03e7cbNpgs92q1baf82b6b5tgdaab402Z,Current,7725.0,AZ,7725.0, 36 months,0.1464,266.42999,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,ACCOUNT CLERK III,10+ years,MORTGAGE,46000.0,,Verified,850xx,AZ,1300.0,5199.0
60642,dcf55dad8b0S898vfa91JC90e6Qf2bf0aa91V13nb406,Current,7750.0,OR,7750.0, 36 months,0.1365,263.57001,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Medical Technologist,3 years,RENT,78000.0,,Source Verified,973xx,OR,1243.0,9941.0
60651,Fa770b1612a50ea8188da9f3b9a6ecc7010715e7d7fay0fb3cb48ffa,Current,7750.0,NJ,7750.0, 36 months,0.1464,267.29999,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Carpenter ,9 years,MORTGAGE,47498.0,,Verified,080xx,NJ,25257.0,227316.0
63980,hdeMme2qf3e7d5a3f9ad90acbd8595cdb85Wfe3959f09b9a,Late (31-120 days),8000.0,TX,8000.0, 36 months,0.089,254.03,A,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Clerk,10+ years,MORTGAGE,85000.0,,Source Verified,761xx,TX,10822.0,97395.0
65459,daDc4c0da800tf7b5e9pb9Q1585d8c4f0NFf486X90aabe,Current,8000.0,TX,8000.0, 36 months,0.1099,261.88,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Intel Analyst,6 years,RENT,38252.0,,Source Verified,799xx,TX,1940.0,21339.0
67518,e7da00d0eb11388e3ZfdVf98b93tefe8927ud4Sf2bcf79aacb0c9,Current,8000.0,FL,8000.0, 36 months,0.1365,272.07001,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Nurse tech,2 years,RENT,35000.0,,Source Verified,326xx,FL,2356.0,37693.0
72769,f2d8e9eb01a76b11e06ffee9ed112lec7e3141eba1099e11d0381da,Current,8500.0,OR,8500.0, 36 months,0.1416,291.17999,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Customer Operations Supervisor,7 years,RENT,50000.0,,Source Verified,977xx,OR,3394.0,33938.0
73583,cbc2f414170f04hf25a2ItfeVWe9b9c3130ef6c8vfcc490,Current,8800.0,TX,8800.0, 36 months,0.0662,270.20001,A,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Physical Therapist,6 years,MORTGAGE,110000.0,,Not Verified,761xx,TX,44335.0,221675.0
76290,Tcd1af8oLa7e4f2efb3181d6c91f10f1fcf1d048c0616a9c74,Current,9000.0,FL,9000.0, 36 months,0.1299,303.20999,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Broker Associate/Vacation Video Owner,5 years,OWN,40000.0,,Verified,334xx,FL,3689.0,14756.0
77695,1804194139flfd38ba8a4fctnc4e9Hca8fRgd2b1cefab8rRO,Current,9250.0,TX,9250.0, 36 months,0.1999,343.72,E,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Teacher,3 years,MORTGAGE,48000.0,,Source Verified,773xx,TX,16581.0,149232.0
79887,dbmk04a19u86f91ecea3b3Xcdfcb9e5m4b9fe0dbd4,Current,9600.0,FL,9600.0, 36 months,0.1249,321.10999,B,04-2014,2014.0,False,INDIVIDUAL,home_improvement,Home improvement,desc,Scientist,10+ years,MORTGAGE,65000.0,,Not Verified,331xx,FL,31528.0,252220.0
79982,bf128d91ae8319f9n1fAfdbbb1Vab919aW83sYdeedaa14Vf2O,Current,9600.0,PA,9600.0, 36 months,0.1299,323.42001,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Adjunct Instructor,3 years,RENT,65000.0,,Not Verified,191xx,PA,5950.0,124953.0
80190,c49cf17edewab9a009daaecW0c08V85ddb1Eq14fea17fffe497e0dd,Current,9600.0,CA,9600.0, 36 months,0.1416,328.85999,C,04-2014,2014.0,False,INDIVIDUAL,other,Other,desc,Sr. HR Analyst,10+ years,MORTGAGE,75360.0,,Not Verified,910xx,CA,25841.0,516815.0
80466,bjJ9e9b01c2a41915b5Wf3c4h78acap12f203Wb20fLb280,Current,9600.0,CA,9600.0, 36 months,0.1757,345.0,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,CONTROLLER,10+ years,MORTGAGE,64800.0,,Not Verified,914xx,CA,16840.0,202083.0
80919,d132eafbm9789e3tS8592a6dcY019891fcd9anb2c5b72Bn,Current,9750.0,OK,9750.0, 36 months,0.2049,364.79001,E,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,HEALTH INFORMATION,10+ years,MORTGAGE,27300.0,,Source Verified,731xx,OK,2489.0,24888.0
82044,cb959evQe2C9cd9bb8d2dfae889bcd7daQta1PF,Current,10000.0,MN,10000.0, 60 months,0.1892,258.97,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,machine operator,< 1 year,MORTGAGE,38000.0,,Not Verified,551xx,MN,16785.0,151068.0
82386,1Madcde5d4d36nDabfbefa0S881f048417c6dda6y8dwab1ccc,Current,10000.0,MI,10000.0, 60 months,0.1531,239.53,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,mechenidzer,10+ years,MORTGAGE,27000.0,,Source Verified,485xx,MI,6660.0,59937.0
87828,6afdapf6e510d197e2c900bfdbe8fcc4Jaddde6de1d00unh03,Current,10000.0,NY,10000.0, 36 months,0.089,317.54001,A,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,administrator,10+ years,RENT,60000.0,,Source Verified,100xx,NY,3536.0,45963.0
87841,8fc684da70e83efw88b8d184b9z9fdb7f9d0abd2e5a4ebb898r,Current,10000.0,MI,10000.0, 36 months,0.089,317.54001,A,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Moldmaker,7 years,MORTGAGE,60000.0,,Not Verified,480xx,MI,21666.0,216661.0
92636,acb288h1002Zca5p4f9a0e8a5d502ccbcd1c8f9wfbb5CIT88e3cf,Current,10000.0,MA,10000.0, 36 months,0.1199,332.10001,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Charge Nurse,9 years,MORTGAGE,79000.0,,Not Verified,020xx,MA,20551.0,328810.0
93974,13ZP0096a414d0d514Ud5bff9g8bb617a5c18c8bbf18affd27r,Current,10000.0,NY,10000.0, 36 months,0.1299,336.89999,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,teacher,8 years,MORTGAGE,60000.0,,Verified,115xx,NY,18432.0,92161.0
94995,04c5bcPle1c6e8b0G7fe8d91bod9a9dbae819eed92fe5F,Current,10000.0,CA,10000.0, 36 months,0.1365,340.07999,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Admissions Advisor,1 year,RENT,44000.0,,Verified,926xx,CA,2026.0,18230.0
95567,Hb096kd118cetc2d0KcaQ7J13c0fd01feScdc48aFfdMK,Late (16-30 days),10000.0,CA,10000.0, 36 months,0.1416,342.56,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Human Resources,7 years,RENT,39404.0,,Verified,907xx,CA,2351.0,25866.0
95575,e391c1C05ad0b89de11d4vsf2Lua5Mfaf0c9nS9dDc5gZ,Current,10000.0,CA,10000.0, 36 months,0.1416,342.56,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Mac technician,3 years,RENT,60000.0,,Source Verified,944xx,CA,3834.0,19168.0
99822,11rd9o01ae18v0b93fcd8tb80fab9f9ba2e2a2X1df7bbd1fe,Current,10000.0,CT,10000.0, 60 months,0.0967,210.86,B,04-2014,2014.0,False,INDIVIDUAL,home_improvement,Home improvement,desc,Financial Controller,6 years,RENT,110000.0,,Not Verified,064xx,CT,105487.0,316460.0
101240,01b4jd4e09f9cV1cb3d1a2f205yd18fc28403b73be17b38adb03c0b,Current,10000.0,PA,10000.0, 60 months,0.1365,230.88,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Inside Sales,8 years,RENT,51000.0,,Source Verified,150xx,PA,7033.0,35166.0
101751,0cacZaad9bb4ra5cf8ea3bc08a2I8c4XNfbdde6eb802a3,Current,10000.0,AR,10000.0, 60 months,0.1464,236.02,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Quality control specialist,3 years,OWN,100000.0,,Not Verified,724xx,AR,20274.0,263565.0
101752,8e000bd114071e1f1ekPE1f19e9dfu9e041de9a7efeac4c713w10,Current,10000.0,OH,10000.0, 60 months,0.1464,236.02,C,04-2014,2014.0,False,INDIVIDUAL,small_business,Business,desc,,n/a,MORTGAGE,67000.0,,Source Verified,437xx,OH,5486.0,153607.0
102062,849d8cbcdefc41f0593e41f11Amb4e38c9f7d9cbf6f1faf611e998a2c0,Current,10000.0,WA,10000.0, 60 months,0.1531,239.53,C,04-2014,2014.0,False,INDIVIDUAL,home_improvement,Home improvement,desc,Service Supervisor,10+ years,MORTGAGE,82000.0,,Not Verified,983xx,WA,22737.0,250108.0
102152,001c9c91e8fftc915908dE99e78abf1cd414dcc7E18b3u18F,Current,10000.0,NY,10000.0, 60 months,0.1561,241.12,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,gang foreperson,10+ years,RENT,105500.0,,Source Verified,146xx,NY,9926.0,99264.0
102153,de01499e086mnbclfcdd4Tafab9db6ed0c5adsa5Ga1aa1cea03,Current,10000.0,NY,10000.0, 60 months,0.1561,241.12,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Night Grocery,1 year,RENT,24000.0,,Source Verified,145xx,NY,1112.0,10005.0
102525,bf51bJ1ca8qa7NNe2cdab0bK85e3e914b215ib0c200f8,Current,10000.0,CA,10000.0, 60 months,0.1659,246.33,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,sales designer,5 years,MORTGAGE,72000.0,,Source Verified,959xx,CA,4486.0,35888.0
102526,9ac9efd792i8fde8bdbI93f3bca70fc5cfc290b6e101c29f8319qa1,Current,10000.0,NJ,10000.0, 60 months,0.1659,246.33,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Paraprofessional,10+ years,OWN,30000.0,,Source Verified,087xx,NJ,2455.0,22093.0
103315,00bd2d910m83aed7e4939etc7b0f0febk8fcddae58960212,Current,10000.0,TX,10000.0, 60 months,0.1947,262.0,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Insurance Adjuster,5 years,MORTGAGE,75000.0,,Source Verified,762xx,TX,21981.0,263776.0
105094,c7c1dDve14pd580bc12141cd93V2b9d28a1ac8wF1adc9c,Current,10250.0,KY,10250.0, 60 months,0.1825,261.67999,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Master Installer,2 years,MORTGAGE,45000.0,,Verified,401xx,KY,2821.0,36668.0
105107,0b995a6d5bfb0b8bab7U97t830fa5bbc711Aj15y1cH1eGe9c3a5,Late (31-120 days),10275.0,NY,10275.0, 36 months,0.1947,379.09,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,registered dental hygienist,2 years,MORTGAGE,70000.0,,Source Verified,117xx,NY,23890.0,286675.0
105341,f81cc6qdeJJaba1e28ek03cbc9aaTtkvdd0ccMebbbd5,Current,10400.0,NY,10400.0, 36 months,0.0662,319.32001,A,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,IT Site Manager,10+ years,MORTGAGE,93000.0,,Source Verified,126xx,NY,20870.0,292178.0
105683,039482MTMM95Aff0efakabuc78c1ekaee11q80b3c1aeze2c6,Late (31-120 days),10400.0,WI,10400.0, 60 months,0.2118,282.41,E,04-2014,2014.0,False,INDIVIDUAL,vacation,Vacation,desc,Programmer,< 1 year,RENT,60000.0,,Verified,530xx,WI,1959.0,9797.0
105813,ceGa8d2fci0bb5bA93b4a9cacf4bf93b8fcflc8Oc3e31bb114d4,Current,10450.0,OR,10450.0, 60 months,0.1947,273.79001,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Branch Manager,8 years,MORTGAGE,44900.0,,Source Verified,971xx,OR,27910.0,195371.0
105831,aeDfPc6Wb48ddbbgf0hb8e993bceb615f09800b711edVd8,Current,10475.0,SC,10475.0, 36 months,0.1199,347.87,B,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Director,5 years,MORTGAGE,25000.0,,Source Verified,296xx,SC,2765.0,16587.0
106508,08f5e5fa1c81d89b81m1at00E1c00y15a0beb6Nbfa1c483,Current,10500.0,GA,10500.0, 60 months,0.1561,253.17,C,04-2014,2014.0,False,INDIVIDUAL,home_improvement,Home improvement,desc,Accountant,10+ years,MORTGAGE,88000.0,,Not Verified,300xx,GA,18571.0,352845.0
106986,0ef0fb492d210bc29197fbaba5feacc6f3r1d9e31cb5ed0ccb,Current,10625.0,IL,10625.0, 60 months,0.2049,284.41,E,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,trooper,5 years,MORTGAGE,77000.0,,Source Verified,622xx,IL,35980.0,215878.0
107926,a9ce6lb57f07abb906La815c69efab1c7U1fqB1910fb1f971e9eM92,In Grace Period,10750.0,MA,10750.0, 36 months,0.1757,386.32999,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Teacher,10+ years,MORTGAGE,36000.0,,Verified,020xx,MA,37352.0,261463.0
108481,f8cfk1eOcda9c1af01b5e7ffM0089f8c701c2fce1mZef,Current,10800.0,OH,10800.0, 60 months,0.1365,249.35001,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,area manager,10+ years,MORTGAGE,90000.0,,Verified,440xx,OH,13703.0,150730.0
108902,gZd4e4032a7981798af9ff515fbEd0If0aba20ea7eanae9c15,Current,10975.0,IL,10975.0, 60 months,0.1892,284.22,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,School Bus Driver,4 years,RENT,25000.0,,Source Verified,605xx,IL,2224.0,31142.0
111016,bcfd9c2e012v8f4t998dc7baDC7ffd00daabf89c18jd84e3,Current,11000.0,OH,11000.0, 60 months,0.1299,250.23,B,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,OFFICE MANAGER,3 years,MORTGAGE,68000.0,,Not Verified,437xx,OH,10001.0,160021.0
111101,c49f847f81c89fL7X03d9c6eac9bb48dd5f199e18908R071fg,Current,11000.0,MD,11000.0, 60 months,0.1416,256.87,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Mortgage Underwriter,1 year,MORTGAGE,85000.0,,Not Verified,210xx,MD,29959.0,299587.0
111177,0fe91dajb11epf79788b21m86a4e7e0ebab91cae6cbfacecc,Current,11000.0,PA,11000.0, 60 months,0.1531,263.48999,C,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Teacher,8 years,RENT,85256.0,,Verified,191xx,PA,5821.0,52390.0
111399,95d0cbce05Yb107e90187bca3b1d1b5n7f1ce8efec99Ld7aeHdabR,Current,11000.0,AR,11000.0, 60 months,0.2049,294.44,E,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Public Relatins,5 years,MORTGAGE,31200.0,,Not Verified,729xx,AR,15534.0,108738.0
111590,ebof7d4b6f5ecc7fc2706bmc29eeb97nec049ee8J8bO,Current,11075.0,WA,11075.0, 60 months,0.1825,282.75,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,support enforcement officer,10+ years,RENT,49386.0,,Verified,984xx,WA,4232.0,50792.0
111820,Ucb111198P9e2b9f18ded91a8691dfra70287bcf81806f6ed06dd,Current,11200.0,SC,11200.0, 60 months,0.1659,275.89001,D,04-2014,2014.0,False,INDIVIDUAL,credit_card,Credit card refinancing,desc,Asst Store Mgr,3 years,RENT,31500.0,,Source Verified,296xx,SC,5265.0,31589.0
112805,ra1a8c79fjG15sdcf7b0c6f48717A8c1ac0se4f6b8M7fb3,Current,11200.0,AZ,11200.0, 60 months,0.1757,281.79999,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Manager,1 year,MORTGAGE,42000.0,,Not Verified,857xx,AZ,32962.0,164808.0
113105,Kccfacf1dt1f18fa97ic51ccdff83YJ0eb4X848193ednK,Current,11275.0,FL,11275.0, 36 months,0.1947,415.98999,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Accounting Technician Internal Accounts,10+ years,RENT,31494.391,,Source Verified,334xx,FL,2154.0,27998.0
113422,cb8e8fd0gf9de8ahd18704cfcfd4jcaa8acbe9d294d0879,Current,11400.0,SC,11400.0, 60 months,0.1464,269.06,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Engineer,10+ years,MORTGAGE,70000.0,,Source Verified,294xx,SC,32520.0,390243.0
114053,yred96Bf110V015jd2a5bb1ae995c850b389vc0V1bc0f9e988da,Current,11500.0,NY,11500.0, 60 months,0.2408,331.37,F,04-2014,2014.0,False,INDIVIDUAL,other,Other,desc,production,6 years,OWN,36000.0,,Source Verified,128xx,NY,5360.0,42882.0
114110,95qvb0f28aL6e804h06b4d4leefee0a1ImIV11n,Current,11525.0,MI,11525.0, 60 months,0.1757,289.98001,D,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Technical Coordinator,10+ years,MORTGAGE,85000.0,,Verified,483xx,MI,4135.0,24815.0
114217,f4b1b606e8e0zaa9ce1qebfed0aaccLc306H08cdeb303bea9,Current,11600.0,GA,11600.0, 60 months,0.2408,334.25,F,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Senior Support Analyst,< 1 year,RENT,70000.0,,Not Verified,313xx,GA,10005.0,140063.0
114495,e2af82r0ebdebb2qe2f4b0cd11c3a512918boe4d89aBHd3fd215,Current,11700.0,KS,11700.0, 60 months,0.1464,276.14001,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,Foster Care Worker,9 years,MORTGAGE,39000.0,,Not Verified,670xx,KS,9621.0,86587.0
114550,fe13908ae5fdDpabc39b82a1ydaf5db01baUc28d1afd2,Current,11725.0,CT,11725.0, 60 months,0.1531,280.85001,C,04-2014,2014.0,False,INDIVIDUAL,debt_consolidation,Debt consolidation,desc,ILST,5 years,RENT,28000.0,,Not Verified,062xx,CT,1637.0,13093.0
